patient_id	file_id	file_name	sample_id
MMRF_1021	7eeeb6ef-5a47-40d1-8071-682b752d6ebc	9da1b133-8f4f-4b00-aa77-701997f9c57c.rna_seq.augmented_star_gene_counts.tsv	MMRF_1021_1_BM_CD138pos
MMRF_1024	7671063b-534d-4482-8e5f-ffc2291fb8e6	26b1bd22-bab6-499c-8cfa-e216a093499f.rna_seq.augmented_star_gene_counts.tsv	MMRF_1024_1_BM_CD138pos
MMRF_1029	74a95a31-297b-4016-a253-7ce3945e5839	632501c4-2011-498e-8e3b-ffab36bf0901.rna_seq.augmented_star_gene_counts.tsv	MMRF_1029_1_BM_CD138pos
MMRF_1030	6cc91c1a-371f-4990-9c16-690b21f65e1d	77d4b707-dab9-406f-9b1a-377ac5de15af.rna_seq.augmented_star_gene_counts.tsv	MMRF_1030_1_BM_CD138pos
MMRF_1031	ffbf9d0d-fcbb-496a-945a-c4724ab129c1	82462732-0686-4f5f-9b3a-4f681988b9f5.rna_seq.augmented_star_gene_counts.tsv	MMRF_1031_1_BM_CD138pos
MMRF_1032	0120fbc2-5364-4a9b-bd61-23798faedf71	decb13cb-582c-40bd-9e53-53d585651be7.rna_seq.augmented_star_gene_counts.tsv	MMRF_1032_1_BM_CD138pos
MMRF_1033	e0eb4c41-9f6d-4a22-8192-a71add88e953	5c764b18-d592-43df-8b0b-9ae656387be5.rna_seq.augmented_star_gene_counts.tsv	MMRF_1033_1_BM_CD138pos
MMRF_1037	8682fb03-2c05-4111-8da7-d5aaf1dd92d3	e48bc00b-2c55-4da5-bb53-ab04cff19e79.rna_seq.augmented_star_gene_counts.tsv	MMRF_1037_1_BM_CD138pos
MMRF_1038	90038f07-c7a0-4437-a227-c17478193590	09aa7bea-dc9a-4231-810f-72ef4907f14f.rna_seq.augmented_star_gene_counts.tsv	MMRF_1038_1_BM_CD138pos
MMRF_1045	938c3482-0829-4f2d-86f6-0b05728724ef	58ddd58e-c31f-4d62-a438-6bc867bfb065.rna_seq.augmented_star_gene_counts.tsv	MMRF_1045_1_BM_CD138pos
MMRF_1048	879e9d75-33f0-4b46-91a9-e2345347e29a	536c62a2-d13c-42b4-ae3e-84122171db0c.rna_seq.augmented_star_gene_counts.tsv	MMRF_1048_1_BM_CD138pos
MMRF_1049	a5e8fe2c-9ac6-4a21-8a9f-fd062490536a	d4fe5d57-3e47-41a7-a905-dc04c57cfbcf.rna_seq.augmented_star_gene_counts.tsv	MMRF_1049_2_BM_CD138pos
MMRF_1061	5dd8bdb3-81cb-4c1a-99d8-f4244ceb2b3d	e33fa91b-d0b9-485a-9421-cb923741cbf0.rna_seq.augmented_star_gene_counts.tsv	MMRF_1061_3_BM_CD138pos
MMRF_1068	c53feb4d-3012-4993-b556-b9703ab9f234	37cfb413-0b4d-4607-bc1d-a84a1e0d3535.rna_seq.augmented_star_gene_counts.tsv	MMRF_1068_1_BM_CD138pos
MMRF_1073	1b9940cc-27d7-40d8-a571-2c21fcb5d075	d4924285-86de-46cb-8111-cdabb6583d57.rna_seq.augmented_star_gene_counts.tsv	MMRF_1073_1_BM_CD138pos
MMRF_1077	96c9fd19-0602-4514-906d-4c7f6d4a114d	b94fc100-78a2-4eb3-bd49-c3bc1ef842af.rna_seq.augmented_star_gene_counts.tsv	MMRF_1077_1_BM_CD138pos
MMRF_1078	d4265f12-c3de-43e4-85bd-ff8e90f5c5f6	092d11ed-016b-40ea-9c5c-8977b0b71e99.rna_seq.augmented_star_gene_counts.tsv	MMRF_1078_1_BM_CD138pos
MMRF_1079	f52115c1-59ba-4baf-8fe3-1a2da1dca88c	45a98d5e-7a23-48cb-9e8f-e91d9084e571.rna_seq.augmented_star_gene_counts.tsv	MMRF_1079_1_BM_CD138pos
MMRF_1080	a76f771e-8177-4611-9e85-339fecbcdda9	5d7d8d5c-1f98-4d85-8cee-36c42b08dc49.rna_seq.augmented_star_gene_counts.tsv	MMRF_1080_1_BM_CD138pos
MMRF_1082	0ee83342-a9ba-4bd1-a48f-e70ac0f0c059	4f7286cb-8265-4380-bdb6-8c3dab379d12.rna_seq.augmented_star_gene_counts.tsv	MMRF_1082_1_BM_CD138pos
MMRF_1085	4170502e-1c1b-4121-9772-4f933d0ed4e2	c38cb6f3-753b-444d-99cd-353fc95f3dd5.rna_seq.augmented_star_gene_counts.tsv	MMRF_1085_3_BM_CD138pos
MMRF_1086	aff61cba-6e16-47ce-adc0-eea51b9a3a98	cebc8c6b-a26c-4204-8ccb-9f21f73030a3.rna_seq.augmented_star_gene_counts.tsv	MMRF_1086_1_BM_CD138pos
MMRF_1089	a4e6dab2-cf5d-4b90-a706-a3fba2ba3269	3b983768-f35a-4e28-8225-dcd7cb578960.rna_seq.augmented_star_gene_counts.tsv	MMRF_1089_1_BM_CD138pos
MMRF_1092	e7d2bbf7-a218-41d5-9c21-a994c14130fa	9017233c-39b4-4c47-b691-e09fd534283e.rna_seq.augmented_star_gene_counts.tsv	MMRF_1092_1_BM_CD138pos
MMRF_1098	0cb951d6-10c8-43b9-add4-35271694611b	ef75124a-5832-40bb-bf03-73dfab4919ba.rna_seq.augmented_star_gene_counts.tsv	MMRF_1098_1_BM_CD138pos
MMRF_1099	59e81373-2141-44d2-adb9-b31c2ab7120a	6a1086ec-bda9-4344-a92c-60a47a2a8914.rna_seq.augmented_star_gene_counts.tsv	MMRF_1099_1_BM_CD138pos
MMRF_1100	50f16b09-1655-4e3f-b71e-525c182fe6ec	aa4496cd-586b-4bf7-983d-c59c634c5c17.rna_seq.augmented_star_gene_counts.tsv	MMRF_1100_1_BM_CD138pos
MMRF_1107	5e2ee5e6-2746-4ede-b363-3317c84feafd	3b95ecc3-a144-4069-b70a-a8d49c34cadf.rna_seq.augmented_star_gene_counts.tsv	MMRF_1107_1_BM_CD138pos
MMRF_1108	cd2f727f-90dd-48fd-83d1-bf103c980b78	dc050878-f7c8-49fe-90e7-ba034c45f24f.rna_seq.augmented_star_gene_counts.tsv	MMRF_1108_1_BM_CD138pos
MMRF_1110	867dc8a8-378d-4369-b9d7-77e6d57f4e82	a12ceb84-0987-440c-9869-9291b6bb854e.rna_seq.augmented_star_gene_counts.tsv	MMRF_1110_2_BM_CD138pos
MMRF_1112	d52c789a-742b-4262-9d9b-b5b712f28270	8e3bc907-a161-4e28-a17a-107828d74c4a.rna_seq.augmented_star_gene_counts.tsv	MMRF_1112_3_BM_CD138pos
MMRF_1128	103bbb57-4c78-4f59-8f51-7e0b835d0567	9af7b6de-b756-4c2f-9e8e-15fca3cd1f41.rna_seq.augmented_star_gene_counts.tsv	MMRF_1128_1_BM_CD138pos
MMRF_1129	8e54b3bb-9667-407f-801f-d2e36ee65c35	80d25120-2953-4d03-9e9c-bccdfc1c2360.rna_seq.augmented_star_gene_counts.tsv	MMRF_1129_1_BM_CD138pos
MMRF_1130	56f0aafa-6db8-47e7-a986-6cf364204da0	b696aae3-7ab8-454c-b7d3-2763fb31dac8.rna_seq.augmented_star_gene_counts.tsv	MMRF_1130_1_BM_CD138pos
MMRF_1131	6cc28552-db4f-4383-b963-d8a8a97b727e	045959f7-9d02-47c8-8f40-d485ef3f7d79.rna_seq.augmented_star_gene_counts.tsv	MMRF_1131_2_BM_CD138pos
MMRF_1137	a980dfb9-72eb-4c2b-889c-2116b73978ba	19adb708-5266-4c21-9ae2-183b8c2f1d1e.rna_seq.augmented_star_gene_counts.tsv	MMRF_1137_1_BM_CD138pos
MMRF_1148	1b6cc363-2bae-4025-b038-783942ff9655	b3a50d05-296c-45f2-b084-07df589788b5.rna_seq.augmented_star_gene_counts.tsv	MMRF_1148_1_BM_CD138pos
MMRF_1151	3309b1c5-86ee-4f63-9f67-df565295b12d	1d08f6ce-b5ef-4125-ac68-c5fc2524f9ea.rna_seq.augmented_star_gene_counts.tsv	MMRF_1151_1_BM_CD138pos
MMRF_1152	0fad3156-5c53-4a82-a7f7-9c15b0961264	2c0edf85-f03f-4281-a159-b1974ac37907.rna_seq.augmented_star_gene_counts.tsv	MMRF_1152_1_BM_CD138pos
