subtype,n,events,status,model,cindex
amp1q,8,6,too_sparse,,
del1p,2,2,too_sparse,,
del13q,15,12,ok,subtype_event_rate,0.5764705882352941
del13q,15,12,ok,cox,0.6588235294117647
del13q,15,12,ok,opsd_cox,0.6588235294117647
del13q,15,12,ok,aft,0.38823529411764707
del13q,15,12,ok,opsd_aft,0.38823529411764707
del13q,15,12,ok,fht,0.38823529411764707
del13q,15,12,ok,opsd_fht,0.38823529411764707
del17p,4,3,too_sparse,,
t_4_14,1,1,too_sparse,,
t_11_14,6,4,too_sparse,,
hyperdiploid,16,12,ok,subtype_event_rate,0.6020408163265306
hyperdiploid,16,12,ok,cox,0.5918367346938775
hyperdiploid,16,12,ok,opsd_cox,0.5918367346938775
hyperdiploid,16,12,ok,aft,0.47959183673469385
hyperdiploid,16,12,ok,opsd_aft,0.47959183673469385
hyperdiploid,16,12,ok,fht,0.45918367346938777
hyperdiploid,16,12,ok,opsd_fht,0.45918367346938777
