model,decile,n,pred_event_prob,observed_event_prob
clinical,1,19,0.0666,0.0
clinical,2,19,0.0933,0.0
clinical,3,18,0.1125,0.0588
clinical,4,18,0.1232,0.2395
clinical,5,18,0.1379,0.1111
clinical,6,18,0.167,0.1444
clinical,7,18,0.1945,0.1429
clinical,8,18,0.2242,0.3125
clinical,9,18,0.2708,0.3179
clinical,10,18,0.3912,0.287
clinical+cytogenetics,1,19,0.0584,0.0
clinical+cytogenetics,2,19,0.0834,0.0
clinical+cytogenetics,3,18,0.1026,0.0
clinical+cytogenetics,4,18,0.127,0.1282
clinical+cytogenetics,5,18,0.1459,0.2208
clinical+cytogenetics,6,18,0.1717,0.2055
clinical+cytogenetics,7,18,0.1959,0.1111
clinical+cytogenetics,8,18,0.2275,0.2
clinical+cytogenetics,9,18,0.2932,0.479
clinical+cytogenetics,10,18,0.4114,0.2949
clinical+omics,1,19,0.0474,0.0
clinical+omics,2,19,0.0681,0.0
clinical+omics,3,18,0.0893,0.0769
clinical+omics,4,18,0.1051,0.0833
clinical+omics,5,18,0.125,0.1515
clinical+omics,6,18,0.1507,0.1146
clinical+omics,7,18,0.1779,0.1176
clinical+omics,8,18,0.2154,0.2721
clinical+omics,9,18,0.3026,0.3739
clinical+omics,10,18,0.5714,0.4231
clinical+cytogenetics+omics,1,19,0.0449,0.0
clinical+cytogenetics+omics,2,19,0.0663,0.0
clinical+cytogenetics+omics,3,18,0.0872,0.0
clinical+cytogenetics+omics,4,18,0.1073,0.0625
clinical+cytogenetics+omics,5,18,0.1251,0.1608
clinical+cytogenetics+omics,6,18,0.1564,0.2463
clinical+cytogenetics+omics,7,18,0.1835,0.1843
clinical+cytogenetics+omics,8,18,0.2179,0.1176
clinical+cytogenetics+omics,9,18,0.3086,0.3739
clinical+cytogenetics+omics,10,18,0.572,0.4231
clinical+programs,1,19,0.0393,0.0
clinical+programs,2,19,0.0627,0.0
clinical+programs,3,18,0.0875,0.1282
clinical+programs,4,18,0.108,0.0
clinical+programs,5,18,0.1232,0.1488
clinical+programs,6,18,0.1489,0.0588
clinical+programs,7,18,0.1783,0.1333
clinical+programs,8,18,0.2202,0.2497
clinical+programs,9,18,0.3129,0.4077
clinical+programs,10,18,0.5136,0.3889
clinical+cytogenetics+programs,1,19,0.0383,0.0
clinical+cytogenetics+programs,2,19,0.0618,0.0
clinical+cytogenetics+programs,3,18,0.087,0.0667
clinical+cytogenetics+programs,4,18,0.1085,0.1414
clinical+cytogenetics+programs,5,18,0.1273,0.0588
clinical+cytogenetics+programs,6,18,0.1498,0.0
clinical+cytogenetics+programs,7,18,0.184,0.1333
clinical+cytogenetics+programs,8,18,0.2258,0.3024
clinical+cytogenetics+programs,9,18,0.3096,0.4316
clinical+cytogenetics+programs,10,18,0.5191,0.3889
