feature,coef,abs_coef,direction,feature_kind
PC1,0.2945736333721522,0.2945736333721522,higher_risk,rna_pca_loading_derived
PC6,-0.1947220391054189,0.1947220391054189,lower_risk,rna_pca_loading_derived
PC3,0.16813721803520226,0.16813721803520226,higher_risk,rna_pca_loading_derived
PC14,0.13843667656657632,0.13843667656657632,higher_risk,rna_pca_loading_derived
PC4,0.12161588791865614,0.12161588791865614,higher_risk,rna_pca_loading_derived
PC8,0.11705624308766763,0.11705624308766763,higher_risk,rna_pca_loading_derived
PC11,0.10936419055024571,0.10936419055024571,higher_risk,rna_pca_loading_derived
PC10,-0.08747114891487012,0.08747114891487012,lower_risk,rna_pca_loading_derived
PC7,-0.08659750021182143,0.08659750021182143,lower_risk,rna_pca_loading_derived
amp1q,0.08437656804857357,0.08437656804857357,higher_risk,cytogenetic_call
del1p,0.0760002801941736,0.0760002801941736,higher_risk,cytogenetic_call
PC12,-0.06013915324905307,0.06013915324905307,lower_risk,rna_pca_loading_derived
PC16,0.050436217191832756,0.050436217191832756,higher_risk,rna_pca_loading_derived
PC15,0.04382788836544021,0.04382788836544021,higher_risk,rna_pca_loading_derived
t_14_16,0.03561293707728695,0.03561293707728695,higher_risk,cytogenetic_call
t_11_14,0.030556658212193225,0.030556658212193225,higher_risk,cytogenetic_call
PC9,0.02986832995330383,0.02986832995330383,higher_risk,rna_pca_loading_derived
del13q,0.02675516587210756,0.02675516587210756,higher_risk,cytogenetic_call
PC2,0.025315983330388158,0.025315983330388158,higher_risk,rna_pca_loading_derived
t_4_14,0.023672112007893518,0.023672112007893518,higher_risk,cytogenetic_call
PC5,-0.021231683918050824,0.021231683918050824,lower_risk,rna_pca_loading_derived
PC13,0.018312167705619213,0.018312167705619213,higher_risk,rna_pca_loading_derived
del17p,0.015471874370575197,0.015471874370575197,higher_risk,cytogenetic_call
hyperdiploid,0.0062371283659306284,0.0062371283659306284,higher_risk,cytogenetic_call
