feature,coef,abs_coef,direction,feature_kind,provenance,mapped_genes
PC1,0.27845870599881833,0.27845870599881833,higher_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),MCM6;TUBB;TFDP1;MCM3;TMPO
PC6,-0.20753848332122202,0.20753848332122202,lower_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),TMEM37;RAPGEF2;ANKRD28;TGFA;FAAH2
PC3,0.18597351637620715,0.18597351637620715,higher_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),CCND2;GNG11;KIF21B;STAP1;SPN
PC7,-0.12446045603873274,0.12446045603873274,lower_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),CD200;BTLA;NRG3;MGLL;LYPD6B
PC12,-0.11540891604073267,0.11540891604073267,lower_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),XAF1;IFIT3;IFI6;SDC3;FABP5
PC8,0.10824160062128153,0.10824160062128153,higher_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),HERC6;MAF;STXBP6;STAT4;TACC1
PC15,0.09776337404605452,0.09776337404605452,higher_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),RASA3;F12;DUSP4;TNFRSF18;NEIL1
del1p,0.08957775012573752,0.08957775012573752,higher_risk,cytogenetic_call,CNV/RNA-surrogate cytogenetic call,
PC13,0.08945520087053593,0.08945520087053593,higher_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),PARP9;AXL;CCL8;PLA2G7;SIGLEC1
amp1q,0.08773738846412092,0.08773738846412092,higher_risk,cytogenetic_call,CNV/RNA-surrogate cytogenetic call,
PC14,0.08388596561803381,0.08388596561803381,higher_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),FOSB;DUSP1;PTGS2;NR4A2;RGS2
PC10,-0.0779085668028808,0.0779085668028808,lower_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),CITED2;SLC17A9;QPRT;CERCAM;RBP1
PC11,0.07357785487301782,0.07357785487301782,higher_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),FRMD6;PLEKHO1;RAMP2;WNT10A;PLEK
PC2,0.06583648299019987,0.06583648299019987,higher_risk,rna_pca_loading_derived,RNA PC loading-derived (NOT a direct gene-level causal feature),ZYX;CXCL8;C5AR1;ACSL1;CHAC2
del17p,0.04460390821892979,0.04460390821892979,higher_risk,cytogenetic_call,CNV/RNA-surrogate cytogenetic call,
