subtype,n,events,status,model,cindex
amp1q,39,4,too_sparse,,
del1p,24,3,too_sparse,,
del13q,62,8,ok,subtype_event_rate,0.6655290102389079
del13q,62,8,ok,cox,0.7918088737201365
del13q,62,8,ok,opsd_cox,0.7030716723549488
del13q,62,8,ok,aft,0.825938566552901
del13q,62,8,ok,fht,0.764505119453925
del17p,14,4,too_sparse,,
t_4_14,0,0,too_sparse,,
t_11_14,0,0,too_sparse,,
t_14_16,0,0,too_sparse,,
hyperdiploid,80,12,ok,subtype_event_rate,0.4590288315629742
hyperdiploid,80,12,ok,cox,0.7936267071320182
hyperdiploid,80,12,ok,opsd_cox,0.802731411229135
hyperdiploid,80,12,ok,aft,0.7223065250379362
hyperdiploid,80,12,ok,fht,0.6418816388467374
