fold,draw,kind,subtype,test_n,ibs_pooled,ibs_independent,pooled_minus_independent
0,0,real,amp1q,67,0.17478861347002428,0.17581016321799395,-0.001021549747969669
0,0,real,del1p,25,0.13546836719307026,0.12947771411875159,0.005990653074318675
0,0,real,del13q,94,0.13372047100019954,0.14131762052011124,-0.0075971495199116945
0,0,real,del17p,20,0.14741025932762247,0.2226311935639454,-0.07522093423632292
0,0,real,hyperdiploid,114,0.13771317795372245,0.15095943022446606,-0.013246252270743608
0,1,flipped,amp1q,73,0.16546636093901476,0.1606743045181064,0.004792056420908353
0,1,flipped,del1p,70,0.17653512489201081,0.20332131020794653,-0.026786185315935712
0,1,flipped,del13q,87,0.12462853074590326,0.13547655287047689,-0.010848022124573628
0,1,flipped,del17p,41,0.13898149580545793,0.15998378115456813,-0.021002285349110195
0,1,flipped,hyperdiploid,110,0.1272532395641277,0.1257981282668698,0.001455111297257894
0,2,flipped,amp1q,82,0.14987687265196228,0.1428077219456838,0.007069150706278476
0,2,flipped,del1p,68,0.15584982106581918,0.1862257642038615,-0.030375943138042316
0,2,flipped,del13q,83,0.1266690406663788,0.13153094975441396,-0.00486190908803516
0,2,flipped,del17p,42,0.14063741552125603,0.15781975004407123,-0.0171823345228152
0,2,flipped,hyperdiploid,113,0.13428238040173024,0.1433762685862982,-0.009093888184567966
0,3,flipped,amp1q,97,0.14156264912357597,0.13844970478258353,0.003112944340992435
0,3,flipped,del1p,68,0.11305270253562043,0.11680219457450404,-0.0037494920388836117
0,3,flipped,del13q,87,0.13546720494589642,0.13979517341565537,-0.0043279684697589416
0,3,flipped,del17p,28,0.12840659441741448,0.20335649667684272,-0.07494990225942824
0,3,flipped,hyperdiploid,116,0.1673857140128405,0.18006886381475024,-0.012683149801909738
0,4,flipped,amp1q,77,0.18644389382965906,0.16945665084781011,0.01698724298184895
0,4,flipped,del1p,64,0.16649032604083716,0.18026237421026173,-0.013772048169424567
0,4,flipped,del13q,87,0.1480429982592963,0.14631622618886586,0.0017267720704304268
0,4,flipped,del17p,36,0.111276900836885,0.16816956092868465,-0.05689266009179965
0,4,flipped,hyperdiploid,111,0.15509831873043542,0.16649461289598244,-0.011396294165547022
0,5,flipped,amp1q,83,0.13695626858530832,0.1356184209847596,0.001337847600548725
0,5,flipped,del1p,67,0.12469467784289871,0.13311273550650843,-0.008418057663609715
0,5,flipped,del13q,91,0.1553564877366557,0.15466070184387914,0.0006957858927765515
0,5,flipped,del17p,36,0.13098997751947672,0.17029492702016527,-0.03930494950068855
0,5,flipped,hyperdiploid,110,0.12910563149013807,0.14349677762671495,-0.014391146136576882
0,6,flipped,amp1q,77,0.10026363793523699,0.1055694852269444,-0.005305847291707411
0,6,flipped,del1p,61,0.142560071457177,0.14438220625000614,-0.0018221347928291387
0,6,flipped,del13q,85,0.14965620617350986,0.1695993375176602,-0.01994313134415035
0,6,flipped,del17p,34,0.18094171086962646,0.2086074988593479,-0.02766578798972144
0,6,flipped,hyperdiploid,110,0.1479716936243553,0.16409393506614206,-0.016122241441786755
0,7,flipped,amp1q,83,0.11919926201055214,0.12942416568610973,-0.01022490367555759
0,7,flipped,del1p,64,0.15031180924610646,0.14108394478623654,0.009227864459869922
0,7,flipped,del13q,100,0.14848622448335658,0.15478954633306635,-0.006303321849709775
0,7,flipped,del17p,38,0.12304123659309774,0.16275278084961847,-0.03971154425652074
0,7,flipped,hyperdiploid,113,0.13666866973314198,0.15664037866169425,-0.019971708928552268
0,8,flipped,amp1q,72,0.15222826175762036,0.15928132258394312,-0.00705306082632276
0,8,flipped,del1p,63,0.12498423398083926,0.13783123705861322,-0.012847003077773964
0,8,flipped,del13q,95,0.12720707248034743,0.13139813419298,-0.00419106171263256
0,8,flipped,del17p,36,0.12159559503926338,0.14272019690886648,-0.02112460186960309
0,8,flipped,hyperdiploid,109,0.14135221612087792,0.1453321671222544,-0.003979951001376492
0,9,flipped,amp1q,82,0.15524267334007377,0.15154695427726012,0.003695719062813657
0,9,flipped,del1p,65,0.11207481521934072,0.1285145220774329,-0.016439706858092193
0,9,flipped,del13q,93,0.13243410802435662,0.1374197835629489,-0.004985675538592277
0,9,flipped,del17p,38,0.1560002935632967,0.14393456315926803,0.012065730404028668
0,9,flipped,hyperdiploid,112,0.1336258000013233,0.13678108712658363,-0.0031552871252603365
0,10,flipped,amp1q,75,0.15117661282895742,0.16131500703993382,-0.010138394210976398
0,10,flipped,del1p,76,0.11167752368494774,0.12179948617553549,-0.01012196249058775
0,10,flipped,del13q,89,0.14126306149202292,0.15185193462406663,-0.010588873132043708
0,10,flipped,del17p,30,0.14316591838695103,0.2149561471183284,-0.07179022873137736
0,10,flipped,hyperdiploid,107,0.14167743256438642,0.1451991458050401,-0.0035217132406536733
0,11,flipped,amp1q,80,0.156613243195613,0.1506774791360914,0.00593576405952162
0,11,flipped,del1p,66,0.12700975733145675,0.11739619185328468,0.009613565478172076
0,11,flipped,del13q,96,0.12652120939303635,0.12984517356907668,-0.003323964176040334
0,11,flipped,del17p,35,0.14452036755212733,0.16945226134084138,-0.02493189378871405
0,11,flipped,hyperdiploid,109,0.13897156602979313,0.15560110809199476,-0.01662954206220163
0,12,flipped,amp1q,76,0.153172751591853,0.16058800480512297,-0.007415253213269968
0,12,flipped,del1p,63,0.13824620845980962,0.1428031688039666,-0.0045569603441569795
0,12,flipped,del13q,86,0.1434280380839616,0.15285363770020335,-0.009425599616241759
0,12,flipped,del17p,37,0.16935177460396234,0.17550892499773413,-0.006157150393771793
0,12,flipped,hyperdiploid,112,0.14397688744320652,0.1705312851242372,-0.026554397681030684
0,13,flipped,amp1q,83,0.14541951735990516,0.1541455714522183,-0.00872605409231314
0,13,flipped,del1p,58,0.12168746092850449,0.11234470876001729,0.009342752168487206
0,13,flipped,del13q,92,0.11561348546511989,0.1281513439031768,-0.012537858438056923
0,13,flipped,del17p,40,0.13316402268588093,0.13961563172506938,-0.006451609039188455
0,13,flipped,hyperdiploid,108,0.151298732980931,0.1620267794013525,-0.010728046420421494
0,14,flipped,amp1q,81,0.15035613250934202,0.1376762369811921,0.01267989552814991
0,14,flipped,del1p,61,0.10567114996068623,0.09333276410598247,0.01233838585470376
0,14,flipped,del13q,87,0.17252470504759976,0.17570533469058258,-0.003180629642982824
0,14,flipped,del17p,43,0.08942248699710566,0.12043191561039249,-0.03100942861328683
0,14,flipped,hyperdiploid,112,0.14717030340794776,0.15880623423794182,-0.011635930829994062
0,15,flipped,amp1q,90,0.18439577288797998,0.1780518535176551,0.006343919370324885
0,15,flipped,del1p,67,0.14563725781825038,0.1518373929726476,-0.006200135154397213
0,15,flipped,del13q,95,0.15066914748019766,0.1438107970743915,0.006858350405806152
0,15,flipped,del17p,44,0.1313293781036084,0.13542037565337628,-0.004090997549767883
0,15,flipped,hyperdiploid,106,0.13397955441779796,0.1386665396960902,-0.004686985278292227
1,0,real,amp1q,58,0.1720586928210196,0.15664541236129584,0.01541328045972376
1,0,real,del1p,32,0.1739616894007908,0.15268848908821397,0.021273200312576818
1,0,real,del13q,94,0.18249076993998148,0.1865106000101774,-0.004019830070195934
1,0,real,del17p,19,0.22347876056003307,0.21548258281336394,0.007996177746669136
1,0,real,hyperdiploid,121,0.13440540279474225,0.14083445504481282,-0.006429052250070566
1,1,flipped,amp1q,68,0.134246651806183,0.13898529126002376,-0.0047386394538407595
1,1,flipped,del1p,70,0.1279306734897069,0.1385327792951134,-0.010602105805406492
1,1,flipped,del13q,88,0.17553801398284186,0.18153647053038605,-0.00599845654754419
1,1,flipped,del17p,40,0.15600808311321537,0.17791431497273644,-0.021906231859521064
1,1,flipped,hyperdiploid,110,0.11900867829974811,0.1287990204818284,-0.009790342182080289
1,2,flipped,amp1q,79,0.16748787549149508,0.16681741049535614,0.0006704649961389308
1,2,flipped,del1p,70,0.09311214546289856,0.09175604064568381,0.001356104817214751
1,2,flipped,del13q,85,0.14154384727890285,0.1366462417926788,0.004897605486224033
1,2,flipped,del17p,31,0.1874176418730632,0.19680246237803017,-0.009384820504966973
1,2,flipped,hyperdiploid,122,0.13005283589672997,0.13596828387370563,-0.005915447976975657
1,3,flipped,amp1q,80,0.13539869764606088,0.12681604134005225,0.00858265630600863
1,3,flipped,del1p,67,0.1499789289123791,0.14145323236141943,0.008525696550959666
1,3,flipped,del13q,78,0.12051351035251776,0.11913845901764115,0.0013750513348766008
1,3,flipped,del17p,45,0.16919509592855644,0.16692539927680292,0.0022696966517535277
1,3,flipped,hyperdiploid,113,0.14840804043186473,0.15540964616233272,-0.007001605730467986
1,4,flipped,amp1q,87,0.12583477836511736,0.12212821972277219,0.0037065586423451757
