pc,event_corr,gene,loading
PC113,0.278,DDX43,0.1238
PC113,0.278,C11orf21,0.0804
PC113,0.278,TSPAN32,0.0782
PC113,0.278,LCN8,0.0769
PC113,0.278,RGS18,0.0736
PC113,0.278,SMPDL3B,0.0726
PC113,0.278,ADGRG6,0.071
PC113,0.278,FAM50B,0.0702
PC113,0.278,RNF130,0.0686
PC113,0.278,PCSK1N,0.0668
PC113,0.278,LTK,0.0665
PC113,0.278,H1-0,0.0661
PC113,0.278,CISH,0.0636
PC113,0.278,ARMC2,0.0612
PC113,0.278,GCAT,0.0609
PC128,0.272,LTBR,0.1401
PC128,0.272,TRPM4,0.0873
PC128,0.272,LAMP5,0.0806
PC128,0.272,VAMP1,0.0755
PC128,0.272,AC136428.1,0.0748
PC128,0.272,PILRB,0.0695
PC128,0.272,COL1A2,0.0692
PC128,0.272,EPAS1,0.069
PC128,0.272,MACROD2,0.0683
PC128,0.272,MLIP,0.0676
PC128,0.272,KLF10,0.0654
PC128,0.272,EYA2,0.0647
PC128,0.272,ETV1,0.0625
PC128,0.272,HLA-DQA2,0.0608
PC128,0.272,ATP1B1,0.0605
PC48,0.262,MYO1B,0.0922
PC48,0.262,MT-ND4L,0.0771
PC48,0.262,MT-ND4,0.0767
PC48,0.262,PHLDA3,0.0741
PC48,0.262,TGIF2LX,0.0687
PC48,0.262,PIM1,0.0684
PC48,0.262,ID3,0.0671
PC48,0.262,EHD4,0.0649
PC48,0.262,CABLES1,0.0642
PC48,0.262,MT-CYB,0.0639
PC48,0.262,NUAK2,0.0624
PC48,0.262,HOMER3,0.0607
PC48,0.262,NBEA,0.058
PC48,0.262,MT-CO2,0.0578
PC48,0.262,RAB37,0.0575
PC110,0.245,PXDN,0.0885
PC110,0.245,NUDT12,0.0851
PC110,0.245,CD40,0.0754
PC110,0.245,PRSS21,0.0703
PC110,0.245,RIC3,0.0689
PC110,0.245,LDOC1,0.0652
PC110,0.245,SSH3,0.0639
PC110,0.245,DDX43,0.0635
PC110,0.245,GPR15,0.0604
PC110,0.245,C11orf96,0.0603
PC110,0.245,CYBRD1,0.0593
PC110,0.245,ANKRD33B,0.0586
PC110,0.245,CTAG2,0.0581
PC110,0.245,CD33,0.0567
PC110,0.245,RNF130,0.0565
PC12,0.239,XAF1,0.0722
PC12,0.239,IFIT3,0.0715
PC12,0.239,IFI6,0.0696
PC12,0.239,IFIT1,0.0675
PC12,0.239,HERC5,0.0672
PC12,0.239,HERC6,0.0647
PC12,0.239,PARP9,0.0621
PC12,0.239,OLFM4,0.0617
PC12,0.239,PLSCR1,0.0614
PC12,0.239,RSAD2,0.0613
PC12,0.239,IFI44,0.0612
PC12,0.239,CD177,0.0609
PC12,0.239,ISG15,0.0609
PC12,0.239,MMP8,0.0598
PC12,0.239,RETN,0.0579
