feature,importance_dropC,coef,exp_coef_HR
iss_3,0.08892724375995756,0.18871520829398178,1.2076969614243296
b2m,0.07363250132766866,0.1365520326438957,1.1463145219993462
age,0.03284652150823159,0.22958384409930702,1.2580763450793997
albumin,0.027004779607010136,-0.20318350355646767,0.8161284652078957
line_of_therapy,0.0072225172596920295,0.03442277123887418,1.0350220918155646
del17p,0.006213489113117398,0.0837954762378653,1.087406470601849
amp1q,0.004832713754646889,0.17734317431531285,1.1940407869544374
sex_M,0.0032926181625066884,0.14512501700822505,1.1561841039108798
t_11_14,0.0014869888475836867,0.040339072898415346,1.0411637447562898
t_14_16,-5.3106744556513655e-05,0.08626948307328441,1.0901000522388018
t_4_14,-0.0018321826872012392,0.035037349163167524,1.0356583890514397
del13q,-0.0022304832713754275,0.028754323695471883,1.029171720308837
iss_2,-0.0038236856080721858,0.05091525204965569,1.0522337148537957
hyperdiploid,-0.004115772703133269,-0.017007597937798147,0.9831362147987248
del1p,-0.013887413701540053,0.11606445832869759,1.1230682609033111
