k,feature_set,n_folds,mean_ibs
8,clinical,5,0.1397
8,clinical+cyto,5,0.1397
8,clinical+cyto+omics_infold,5,0.129
8,clinical+cyto+omics_precomp,5,0.1279
8,clinical+omics_infold,5,0.1275
8,clinical+omics_precomp,5,0.1266
16,clinical,5,0.1397
16,clinical+cyto,5,0.1397
16,clinical+cyto+omics_infold,5,0.1281
16,clinical+cyto+omics_precomp,5,0.1284
16,clinical+omics_infold,5,0.1263
16,clinical+omics_precomp,5,0.1266
32,clinical,5,0.1397
32,clinical+cyto,5,0.1397
32,clinical+cyto+omics_infold,5,0.1302
32,clinical+cyto+omics_precomp,5,0.1313
32,clinical+omics_infold,5,0.1291
32,clinical+omics_precomp,5,0.1299
64,clinical,5,0.1397
64,clinical+cyto,5,0.1397
64,clinical+cyto+omics_infold,5,0.1306
64,clinical+cyto+omics_precomp,5,0.1368
64,clinical+omics_infold,5,0.1305
64,clinical+omics_precomp,5,0.1369
