k,feature_set,n_folds,mean_cindex,sd_cindex,mean_ibs
8,clinical,5,0.6875,0.0509,0.1397
8,clinical+cyto,5,0.7058,0.0376,0.1397
8,clinical+cyto+omics_infold,5,0.7523,0.0261,0.129
8,clinical+cyto+omics_precomp,5,0.756,0.0293,0.1279
8,clinical+omics_infold,5,0.7544,0.0344,0.1275
8,clinical+omics_precomp,5,0.7577,0.0367,0.1266
16,clinical,5,0.6875,0.0509,0.1397
16,clinical+cyto,5,0.7058,0.0376,0.1397
16,clinical+cyto+omics_infold,5,0.7471,0.0266,0.1281
16,clinical+cyto+omics_precomp,5,0.7489,0.0258,0.1284
16,clinical+omics_infold,5,0.7543,0.0306,0.1263
16,clinical+omics_precomp,5,0.7557,0.0304,0.1266
32,clinical,5,0.6875,0.0509,0.1397
32,clinical+cyto,5,0.7058,0.0376,0.1397
32,clinical+cyto+omics_infold,5,0.7426,0.0311,0.1302
32,clinical+cyto+omics_precomp,5,0.7396,0.0366,0.1313
32,clinical+omics_infold,5,0.7471,0.0333,0.1291
32,clinical+omics_precomp,5,0.744,0.0337,0.1299
64,clinical,5,0.6875,0.0509,0.1397
64,clinical+cyto,5,0.7058,0.0376,0.1397
64,clinical+cyto+omics_infold,5,0.7389,0.031,0.1306
64,clinical+cyto+omics_precomp,5,0.7166,0.0415,0.1368
64,clinical+omics_infold,5,0.7368,0.0341,0.1305
64,clinical+omics_precomp,5,0.714,0.0461,0.1369
