subtype,test_n,test_ev,ibs_hss,c_hss,status,ibs_independent,ibs_delta_hss_minus_ind,hss_better,condition,fold
amp1q,67,19,0.1655,0.745,ok,0.1866,-0.0211,True,real,0
del1p,25,3,0.1277,0.52,ok,0.1427,-0.015,True,real,0
del13q,94,23,0.1229,0.753,ok,0.1209,0.002,False,real,0
del17p,20,7,0.1491,0.8,ok,0.1911,-0.042,True,real,0
hyperdiploid,114,23,0.1342,0.704,ok,0.157,-0.0229,True,real,0
amp1q,58,19,0.1776,0.724,ok,0.1804,-0.0028,True,real,1
del1p,32,10,0.1623,0.677,ok,0.1401,0.0222,False,real,1
del13q,94,24,0.1929,0.677,ok,0.1889,0.0039,False,real,1
del17p,19,8,0.2344,0.465,ok,0.2342,0.0002,False,real,1
hyperdiploid,121,28,0.1328,0.727,ok,0.1384,-0.0056,True,real,1
amp1q,68,17,0.1054,0.821,ok,0.1179,-0.0125,True,real,2
del1p,27,11,0.1702,0.749,ok,0.1953,-0.025,True,real,2
del13q,92,23,0.119,0.825,ok,0.128,-0.0089,True,real,2
del17p,33,12,0.1719,0.716,ok,0.2307,-0.0588,True,real,2
hyperdiploid,116,22,0.1018,0.797,ok,0.1013,0.0005,False,real,2
amp1q,76,17,0.0953,0.859,ok,0.1148,-0.0195,True,real,3
del1p,47,16,,0.645,ok,,,False,real,3
del13q,98,21,0.1567,0.787,ok,0.2138,-0.0571,True,real,3
del17p,29,8,0.1405,0.748,ok,0.1118,0.0287,False,real,3
hyperdiploid,108,25,0.1318,0.734,ok,0.1451,-0.0132,True,real,3
amp1q,66,18,0.1939,0.747,ok,0.2048,-0.011,True,real,4
del1p,26,7,0.1875,0.64,ok,0.1759,0.0116,False,real,4
del13q,96,23,0.1634,0.776,ok,0.1549,0.0085,False,real,4
del17p,16,4,0.0608,0.882,ok,0.0985,-0.0378,True,real,4
hyperdiploid,108,23,0.1508,0.745,ok,0.1399,0.011,False,real,4
amp1q,75,21,0.1815,0.701,ok,0.1963,-0.0148,True,permuted,0
del1p,33,6,0.112,0.776,ok,0.1221,-0.0102,True,permuted,0
del13q,98,22,0.1412,0.769,ok,0.1735,-0.0323,True,permuted,0
del17p,20,6,0.2529,0.718,ok,0.2292,0.0238,False,permuted,0
hyperdiploid,117,25,0.1333,0.734,ok,0.1379,-0.0047,True,permuted,0
amp1q,59,12,0.1795,0.587,ok,0.1696,0.0099,False,permuted,1
del1p,25,6,0.0828,0.814,ok,0.1274,-0.0445,True,permuted,1
del13q,93,17,0.1133,0.712,ok,0.1193,-0.0059,True,permuted,1
del17p,24,5,0.0715,0.884,ok,0.1391,-0.0676,True,permuted,1
hyperdiploid,111,25,0.1773,0.726,ok,0.1955,-0.0182,True,permuted,1
amp1q,72,18,0.1134,0.811,ok,0.1328,-0.0194,True,permuted,2
del1p,33,8,0.1167,0.865,ok,0.1473,-0.0306,True,permuted,2
del13q,98,19,0.1009,0.804,ok,0.1016,-0.0007,True,permuted,2
del17p,19,3,0.1068,0.87,ok,0.1173,-0.0105,True,permuted,2
hyperdiploid,104,22,0.1099,0.801,ok,0.1219,-0.012,True,permuted,2
amp1q,76,14,0.0973,0.785,ok,0.1268,-0.0296,True,permuted,3
del1p,22,3,0.0923,0.795,ok,0.089,0.0033,False,permuted,3
del13q,92,17,0.1134,0.784,ok,0.1443,-0.0309,True,permuted,3
del17p,18,6,0.1466,0.762,ok,0.1428,0.0038,False,permuted,3
hyperdiploid,104,21,0.1297,0.772,ok,0.1403,-0.0105,True,permuted,3
amp1q,66,11,0.1122,0.76,ok,0.1453,-0.0331,True,permuted,4
del1p,40,9,0.1458,0.809,ok,0.1713,-0.0255,True,permuted,4
del13q,99,23,0.15,0.726,ok,0.1663,-0.0163,True,permuted,4
del17p,27,5,0.0976,0.85,ok,0.1099,-0.0123,True,permuted,4
hyperdiploid,112,21,0.1147,0.71,ok,0.1125,0.0022,False,permuted,4
amp1q,60,15,0.1508,0.743,ok,0.1813,-0.0305,True,random,0
del1p,26,6,0.157,0.514,ok,0.376,-0.219,True,random,0
del13q,96,20,0.1158,0.742,ok,0.13,-0.0141,True,random,0
del17p,29,3,0.0586,0.851,ok,0.107,-0.0483,True,random,0
hyperdiploid,101,20,0.1295,0.644,ok,0.1406,-0.0111,True,random,0
amp1q,65,15,0.1765,0.697,ok,0.1506,0.0259,False,random,1
del1p,38,11,0.1105,0.768,ok,0.1759,-0.0654,True,random,1
del13q,102,19,0.1309,0.771,ok,0.1328,-0.0019,True,random,1
del17p,16,3,0.0824,0.939,ok,0.1224,-0.04,True,random,1
hyperdiploid,105,21,0.133,0.763,ok,0.1276,0.0054,False,random,1
amp1q,66,12,0.0933,0.827,ok,0.0923,0.0011,False,random,2
del1p,32,8,0.1322,0.767,ok,0.1702,-0.038,True,random,2
del13q,93,20,0.0949,0.833,ok,0.0993,-0.0044,True,random,2
del17p,20,5,0.0835,0.771,ok,0.0683,0.0153,False,random,2
hyperdiploid,102,25,0.1178,0.816,ok,0.1186,-0.0008,True,random,2
amp1q,73,18,0.1304,0.753,ok,0.1468,-0.0164,True,random,3
del1p,37,5,0.1082,0.614,ok,0.1158,-0.0076,True,random,3
del13q,87,20,0.1151,0.798,ok,0.117,-0.0019,True,random,3
del17p,25,8,0.1617,0.725,ok,0.1663,-0.0045,True,random,3
hyperdiploid,116,24,0.1301,0.74,ok,0.1445,-0.0145,True,random,3
amp1q,66,11,0.1137,0.729,ok,0.1109,0.0028,False,random,4
del1p,32,6,0.0856,0.81,ok,0.1238,-0.0382,True,random,4
del13q,93,15,0.1241,0.772,ok,0.1336,-0.0096,True,random,4
del17p,24,10,0.2313,0.636,ok,0.177,0.0543,False,random,4
hyperdiploid,114,21,0.096,0.777,ok,0.0885,0.0075,False,random,4
amp1q,67,19,0.1653,0.745,ok,0.1866,-0.0213,True,lambda0,0
del1p,25,3,0.1274,0.52,ok,0.1427,-0.0153,True,lambda0,0
