condition,subtype,n_folds,mean_test_n,mean_ibs_independent,mean_ibs_hss,mean_improvement
lambda0,amp1q,5,67.0,0.1609,0.1479,0.013
lambda0,del13q,5,94.8,0.1613,0.1511,0.0102
lambda0,del17p,5,23.4,0.1733,0.1512,0.022
lambda0,del1p,5,31.4,0.1635,0.1625,0.001
lambda0,hyperdiploid,5,113.4,0.1363,0.1303,0.0061
lambda_huge,amp1q,5,67.0,0.1609,0.1503,0.0106
lambda_huge,del13q,5,94.8,0.1613,0.1512,0.0101
lambda_huge,del17p,5,23.4,0.1733,0.149,0.0243
lambda_huge,del1p,5,31.4,0.1635,0.1616,0.002
lambda_huge,hyperdiploid,5,113.4,0.1363,0.1281,0.0082
permuted,amp1q,5,69.6,0.1542,0.1368,0.0174
permuted,del13q,5,96.0,0.141,0.1238,0.0172
permuted,del17p,5,21.6,0.1477,0.1351,0.0126
permuted,del1p,5,30.6,0.1314,0.1099,0.0215
permuted,hyperdiploid,5,109.6,0.1416,0.133,0.0086
random,amp1q,5,66.0,0.1364,0.1329,0.0034
random,del13q,5,94.2,0.1225,0.1162,0.0064
random,del17p,5,22.8,0.1282,0.1235,0.0047
random,del1p,5,33.0,0.1923,0.1187,0.0736
random,hyperdiploid,5,107.6,0.124,0.1213,0.0027
real,amp1q,5,67.0,0.1609,0.1475,0.0134
real,del13q,5,94.8,0.1613,0.151,0.0103
real,del17p,5,23.4,0.1733,0.1513,0.0219
real,del1p,5,31.4,0.1635,0.1619,0.0016
real,hyperdiploid,5,113.4,0.1363,0.1303,0.0061
